fold_end,test_start,test_end,selected_model,ensemble_weights,multi_agent_mape,multi_agent_rmse,multi_agent_mae,multi_agent_runtime_sec,naive_mape,naive_rmse,naive_mae,moving_avg_mape,moving_avg_rmse,moving_avg_mae,moving_avg_20_mape,moving_avg_20_rmse,moving_avg_20_mae,ewma_mape,ewma_rmse,ewma_mae,seasonal_naive_mape,seasonal_naive_rmse,seasonal_naive_mae,prophet_mape,prophet_rmse,prophet_mae,prophet_runtime_sec,trend_agent_contribution,seasonal_agent_contribution,residual_agent_contribution
2020-10-23,2020-10-26,2020-10-30,dynamic_ensemble,"{'component_weighted': 0.7187, 'moving_avg_5': 0.2813}",34.4808458341727,43677904.853682354,37631011.87552401,0.5257317000068724,47.60821086420581,54647502.605352424,49945380.0,36.760495715711315,45535399.34245883,39770140.0,28.870314434782397,38451811.10420808,32085458.0,33.42846135217229,42832699.18619678,36644666.213756435,36.43479153320296,46693692.478128135,39770140.0,18.283320647290534,19619446.115246557,16486315.434678456,0.7728594000218436,-34141.78573235124,0.0,-10754413.577727035
2020-10-30,2020-11-02,2020-11-06,dynamic_ensemble,"{'moving_avg_5': 0.1331, 'moving_avg_10': 0.1715, 'ewma_10': 0.1371, 'component_additive': 0.1861, 'component_no_residual': 0.1861, 'component_shrunk': 0.1861}",13.171919522637754,21778917.66717213,14331082.299303342,0.48592869998537935,36.201692843035374,33046491.55544352,30289280.0,19.24823716716169,19246674.11558683,17570468.0,19.125667492180536,27094467.58886074,20122665.0,12.551673636123459,18801452.470895484,12981951.907115003,21.304060485560765,24087961.755823176,17342340.0,18.68750459464131,21173312.364313174,16953754.414717816,0.3530989999999292,-6176.403226569295,0.0,3621089.1229442693
2020-11-06,2020-11-09,2020-11-13,dynamic_ensemble,"{'moving_avg_10': 0.1514, 'ewma_10': 0.1185, 'component_additive': 0.1642, 'component_no_residual': 0.1642, 'component_shrunk': 0.1642, 'component_weighted': 0.1484, 'moving_avg_5': 0.0891}",30.59221244830077,43478559.15940911,30765805.85649677,0.47522160000517033,25.37816898323483,44839388.48227081,28748360.0,39.41425231993687,42585264.64603925,35133148.0,28.923434898385942,43312840.932599016,29919845.0,36.2956573154097,42460518.82062294,33388986.931529153,43.247602054072374,50037847.90542055,37772620.0,42.708937918770694,45682351.47541899,37577531.73863705,0.35853369999676943,-336242.9122543186,0.0,2053560.5000315234
2020-11-13,2020-11-16,2020-11-20,dynamic_ensemble,"{'moving_avg_5': 0.0776, 'moving_avg_10': 0.1023, 'moving_avg_20': 0.11, 'median_5': 0.0943, 'median_20': 0.0912, 'ewma_5': 0.0794, 'ewma_10': 0.1003, 'component_additive': 0.0884, 'component_no_residual': 0.0884, 'component_shrunk': 0.0884, 'component_weighted': 0.0796}",19.358586474395736,13686234.1110508,12783318.482718175,0.470928399998229,9.402594346677743,7357594.541152699,6608640.0,31.56535819798028,21645950.87441529,21068400.0,25.276667742194263,17514724.80804937,16795710.0,23.76688696467458,16533612.461908892,15769928.03861162,40.170369041045156,45150110.631093696,28855360.0,28.571300101268992,20267033.468945354,19011650.462062124,0.42202610001550056,38592.907936979085,0.0,-3975402.1380088814
2020-11-20,2020-11-23,2020-11-30,dynamic_ensemble,"{'component_additive': 0.3123, 'component_no_residual': 0.3123, 'component_shrunk': 0.3123, 'moving_avg_5': 0.0631}",56.959536266305776,26950277.90635438,22185728.961421993,0.5107246999978088,48.504935610705715,23159984.815236818,19126620.0,45.27373134872836,21980411.877414856,17868432.0,76.28758378412945,35910510.12441379,30693485.0,53.71778274341691,25314528.773282968,21156433.399725456,41.157975923119174,19740114.132496804,17029640.0,66.8534301248576,31587881.779481918,26150287.653186202,0.4892608000081964,-268814.0802082978,0.0,364354.03253550455
2020-11-30,2020-12-01,2020-12-07,dynamic_ensemble,"{'naive': 0.1616, 'moving_avg_3': 0.1516, 'median_5': 0.2148, 'ewma_5': 0.1778, 'drift': 0.1615, 'moving_avg_5': 0.1327}",25.87224778884697,14668110.020506771,13184832.72144745,0.4791176999860909,53.12426670420521,29293525.930041265,27325780.0,16.877419127111732,10555958.727278162,9633008.0,40.142834110092345,22805055.596130982,20215295.0,21.629220369018256,12603824.964296706,11206568.08551569,38.76224458650637,21978928.378153473,20441000.0,67.29051932189489,38204623.17798384,34359247.82379957,0.36639999999897555,0.0,0.0,0.0
2020-12-07,2020-12-08,2020-12-14,dynamic_ensemble,"{'component_additive': 0.3069, 'component_no_residual': 0.3069, 'component_shrunk': 0.3069, 'moving_avg_5': 0.0792}",22.782629894502808,16242140.237916587,14461634.764703572,0.47610219998750836,21.781625843822823,15745826.53575226,13891340.0,15.845086231912223,11573873.635702094,9329768.0,20.992822768031733,13282155.828780206,10630760.0,15.091871154968937,11198643.216588128,8680738.470094595,32.619004467992816,21395493.697505556,18462200.0,81.19904935624398,47129867.03872376,45799701.637408376,0.35186379999504425,-103449.58867903799,0.0,515485.39724672027
2020-12-14,2020-12-15,2020-12-21,dynamic_ensemble,"{'component_weighted': 0.736, 'moving_avg_5': 0.264}",24.55016733486212,39878423.62694029,26767951.19440781,0.4829197000071872,22.460678671323294,32991500.213388298,23147980.0,21.644046335767122,37841192.21217535,24353772.0,21.514216150458367,37714221.51994258,24231426.0,21.611512260697307,37809311.47319239,24323113.382829998,31.24857034442335,39241175.33038479,29896500.0,53.415724073995975,39789016.62474642,35460599.941094294,0.35205250000581145,-9470.338105127215,0.0,-8533034.296046585
2020-12-21,2020-12-22,2020-12-29,dynamic_ensemble,"{'moving_avg_3': 0.1294, 'moving_avg_5': 0.1197, 'median_5': 0.0945, 'ewma_5': 0.1119, 'ewma_10': 0.0931, 'component_additive': 0.1143, 'component_no_residual': 0.1143, 'component_shrunk': 0.1143, 'component_weighted': 0.1086}",110.20203320094448,42815786.49239901,41885369.0193098,0.4908951000252273,140.12867510920245,54537728.46928995,53728860.0,108.93793414826906,42258215.284732506,41209020.0,60.27070052550913,23608128.369369414,21674185.0,96.23644728244622,37303560.28340486,36110693.431824595,106.32964295412567,51301604.066754095,41209020.0,169.30196190445923,66169504.81229423,64517863.73767288,0.36428500001784414,97554.22226376086,0.0,6936210.26290334
2020-12-29,2020-12-30,2021-01-06,dynamic_ensemble,"{'moving_avg_10': 0.1869, 'moving_avg_20': 0.1913, 'median_5': 0.2467, 'median_20': 0.2476, 'moving_avg_5': 0.1275}",31.720874833785278,36567339.157392,29987430.09323135,0.4856605000095442,32.19082369718911,37264926.54896827,30531720.0,43.39897303528539,46324906.55468611,39864300.0,28.48791975352569,32053990.88177048,26243055.0,30.90112234818697,35373269.40952196,29038001.25382962,42.35635562997778,48505436.95725253,39864300.0,27.395375559716356,28210571.802616343,22135646.025655456,0.35863940001581796,0.0,0.0,0.0
2021-01-06,2021-01-07,2021-01-13,dynamic_ensemble,"{'moving_avg_20': 0.2162, 'median_5': 0.1863, 'median_20': 0.2409, 'component_weighted': 0.261, 'moving_avg_5': 0.0956}",24.096072094721688,14855760.641771398,12004599.91315712,0.4987688999972306,92.64949335930007,51202105.97010635,50131700.0,47.20543550395268,26765529.14820852,24656140.0,23.361885091457584,14067187.346815282,11776016.0,34.45629007570007,20372433.104742233,17509075.353176057,63.676149946264594,40111697.228539206,32380740.0,10.573099051666487,6996714.059083001,5271831.636356244,0.3745004000084009,39854.503180326894,0.0,2938965.3244203776
2021-01-13,2021-01-14,2021-01-21,dynamic_ensemble,"{'component_weighted': 0.8714, 'moving_avg_5': 0.1286}",20.150293435227468,23130084.507154997,15483746.628299799,0.5449544999864884,22.141680645483845,28855109.986967646,18308120.0,20.416229037053018,23031357.162442684,15559920.0,29.770562616673956,22519827.360477258,19289206.0,24.27400989145451,22324190.297717962,16837789.09561453,18.277249185267088,18462820.813191034,13256800.0,22.368269641855107,19526295.40129471,15073471.456944128,0.38463129999581724,166525.6162233129,0.0,72645.77031714842
2021-01-21,2021-01-22,2021-01-28,dynamic_ensemble,"{'component_weighted': 0.8801, 'moving_avg_5': 0.1199}",32.29362370405157,31339117.245967466,25453692.38621173,0.49603559999377467,32.82062866835468,41017063.73647436,30925220.0,31.99584799608989,31952368.641689148,25762736.0,31.628628640544303,32797886.95819633,26152195.0,31.662641603737196,32715620.378238644,26116122.13392664,35.36173228824965,38382197.73530432,31214080.0,35.65642616038575,27858943.791315313,23494470.616615303,0.4286118999880273,-314793.98256664723,0.0,-654927.6287509911
2021-01-28,2021-01-29,2021-02-04,dynamic_ensemble,"{'moving_avg_10': 0.2106, 'moving_avg_20': 0.2162, 'median_20': 0.257, 'ewma_10': 0.1877, 'moving_avg_5': 0.1285}",28.819899175098158,28666201.70507532,21771903.195129756,0.5121814000012819,55.115767942966556,35333826.844144695,33904280.0,33.72641134686365,28705387.79306073,23402660.0,28.734199861040416,28679479.249275517,21747223.0,31.851602785114448,28537890.74047844,22644991.124636076,66.86828721151363,51400887.41243676,43817020.0,41.04180253888522,28722796.590662964,25570250.16609525,0.3699655999953393,0.0,0.0,0.0
